truth,trial,seed,alpha,beta,decision,error,stopping_time
Q,73,260717660,0.05,0.05,Q,False,42
Q,73,260717660,0.05,0.01,Q,False,42
Q,73,260717660,0.01,0.05,Q,False,42
Q,74,260717661,0.05,0.05,Q,False,110
Q,74,260717661,0.05,0.01,Q,False,110
Q,74,260717661,0.01,0.05,Q,False,122
Q,75,260717662,0.05,0.05,Q,False,113
Q,75,260717662,0.05,0.01,Q,False,113
Q,75,260717662,0.01,0.05,Q,False,115
Q,76,260717663,0.05,0.05,Q,False,33
Q,76,260717663,0.05,0.01,Q,False,33
Q,76,260717663,0.01,0.05,Q,False,34
Q,77,260717664,0.05,0.05,Q,False,100
Q,77,260717664,0.05,0.01,Q,False,100
Q,77,260717664,0.01,0.05,Q,False,105
Q,78,260717665,0.05,0.05,Q,False,108
Q,78,260717665,0.05,0.01,Q,False,108
Q,78,260717665,0.01,0.05,Q,False,110
Q,79,260717666,0.05,0.05,Q,False,101
Q,79,260717666,0.05,0.01,Q,False,101
Q,79,260717666,0.01,0.05,Q,False,102
Q,80,260717667,0.05,0.05,Q,False,70
Q,80,260717667,0.05,0.01,Q,False,70
Q,80,260717667,0.01,0.05,Q,False,73
Q,81,260717668,0.05,0.05,Q,False,42
Q,81,260717668,0.05,0.01,Q,False,42
Q,81,260717668,0.01,0.05,Q,False,71
Q,82,260717669,0.05,0.05,Q,False,91
Q,82,260717669,0.05,0.01,Q,False,91
Q,82,260717669,0.01,0.05,Q,False,100
Q,83,260717670,0.05,0.05,Q,False,71
Q,83,260717670,0.05,0.01,Q,False,71
Q,83,260717670,0.01,0.05,Q,False,78
Q,84,260717671,0.05,0.05,Q,False,149
Q,84,260717671,0.05,0.01,Q,False,149
Q,84,260717671,0.01,0.05,Q,False,150
Q,85,260717672,0.05,0.05,Q,False,113
Q,85,260717672,0.05,0.01,Q,False,113
Q,85,260717672,0.01,0.05,Q,False,114
Q,86,260717673,0.05,0.05,Q,False,80
Q,86,260717673,0.05,0.01,Q,False,80
Q,86,260717673,0.01,0.05,Q,False,82
Q,87,260717674,0.05,0.05,Q,False,110
Q,87,260717674,0.05,0.01,Q,False,110
Q,87,260717674,0.01,0.05,Q,False,113
Q,88,260717675,0.05,0.05,Q,False,76
Q,88,260717675,0.05,0.01,Q,False,76
