counts,transitions,production_L_t,cleanroom_L_t,absolute_L_t_error,production_theta,cleanroom_theta,production_beta_t,cleanroom_beta_t,production_stop,cleanroom_stop
"[[1,2,0],[1,1,0],[0,0,0]]",5,6.540520384858969,6.540520384858834,1.3500311979441904e-13,0.6,0.6,9.912023005428145,9.912023005428145,False,False
"[[1,2,0],[1,0,1],[0,0,0]]",5,8.324059071917548,8.324059071917484,6.394884621840902e-14,0.6,0.6,9.912023005428145,9.912023005428145,False,False
"[[1,1,1],[1,0,0],[1,0,0]]",5,7.5057546772488415,7.505754677248811,3.019806626980426e-14,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[1,1,1],[1,0,0],[0,1,0]]",5,11.011721395766859,11.01172139576676,9.947598300641403e-14,0.6,0.6,10.147589076740912,10.147589076740912,True,True
"[[1,1,1],[1,0,0],[0,0,1]]",5,8.348694927013987,8.348694927013955,3.197442310920451e-14,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[1,1,1],[1,1,0],[0,0,0]]",5,6.362400565894095,6.362400565894031,6.394884621840902e-14,0.6,0.6,9.912023005428145,9.912023005428145,False,False
"[[1,1,0],[1,2,0],[0,0,0]]",5,3.0591895214373874,3.0591895214372884,9.903189379656396e-14,0.6,0.6,9.912023005428145,9.912023005428145,False,False
"[[1,1,0],[0,3,0],[0,0,0]]",5,4.603497733931955,4.603497733931784,1.7141843500212417e-13,0.6,0.6,9.912023005428145,9.912023005428145,False,False
"[[1,1,0],[0,2,1],[0,0,0]]",5,4.477493916106095,4.4774939161059955,9.947598300641403e-14,0.6,0.6,9.912023005428145,9.912023005428145,False,False
"[[1,1,0],[0,1,1],[1,0,0]]",5,4.757801810105498,4.757801810105433,6.483702463810914e-14,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,1,0],[0,1,1],[0,1,0]]",5,8.263768528623517,8.26376852862338,1.3677947663381929e-13,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,1,0],[0,1,1],[0,0,1]]",5,5.600742059870644,5.600742059870577,6.661338147750939e-14,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,2,0],[0,0,1],[1,0,0]]",5,9.102178890882422,9.102178890882321,1.0125233984581428e-13,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[1,1,1],[0,0,1],[1,0,0]]",5,8.924059071917549,8.924059071917519,3.019806626980426e-14,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[1,1,0],[1,0,1],[0,1,0]]",5,8.629002821013389,8.629002821013323,6.572520305780927e-14,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,1,0],[0,0,2],[0,1,0]]",5,11.433601576801987,11.433601576801921,6.572520305780927e-14,0.6,0.6,10.276666119016054,10.276666119016054,True,True
"[[1,1,0],[0,0,1],[1,0,1]]",5,5.357801810105498,5.357801810105467,3.019806626980426e-14,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,1,0],[0,0,1],[0,1,1]]",5,8.863768528623517,8.863768528623414,1.0302869668521453e-13,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,1,0],[0,0,1],[0,0,2]]",5,7.587036420990534,7.587036420990502,3.197442310920451e-14,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,1,1],[0,1,0],[1,0,0]]",5,7.14052038485897,7.140520384858868,1.021405182655144e-13,0.6,0.6,10.147589076740912,10.147589076740912,False,False
"[[1,0,2],[0,0,0],[2,0,0]]",5,9.492049038368732,9.492049038368735,3.552713678800501e-15,0.6,0.6,9.912023005428146,9.912023005428145,False,False
"[[1,0,2],[0,0,0],[1,1,0]]",5,11.61172139576686,11.611721395766793,6.750155989720952e-14,0.6,0.6,9.912023005428146,9.912023005428145,True,True
"[[1,0,2],[0,0,0],[1,0,1]]",5,8.948694927013985,8.948694927013989,3.552713678800501e-15,0.6,0.6,9.912023005428146,9.912023005428145,False,False
"[[1,0,2],[1,0,0],[0,1,0]]",5,13.606190299041767,13.606190299041737,3.019806626980426e-14,0.6,0.6,10.147589076740912,10.147589076740912,True,True
"[[1,0,1],[1,1,0],[0,1,0]]",5,8.053638676109825,8.053638676109761,6.394884621840902e-14,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,0,1],[0,2,0],[0,1,0]]",5,9.074698744839846,9.074698744839708,1.3855583347321954e-13,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,0,1],[0,1,1],[0,1,0]]",5,9.471943070778533,9.471943070778469,6.394884621840902e-14,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,0,1],[0,0,1],[1,1,0]]",5,9.229002821013388,9.229002821013358,3.019806626980426e-14,0.6,0.6,10.276666119016054,10.276666119016054,False,False
"[[1,0,1],[0,0,1],[0,2,0]]",5,14.1212639006513,14.121263900651197,1.0302869668521453e-13,0.6,0.6,10.276666119016054,10.276666119016054,True,True
