states,family,checkpoint,active_rows,production_L_t,cleanroom_L_t,absolute_L_t_error,production_theta,cleanroom_theta,production_beta_t,cleanroom_beta_t,absolute_beta_error,empirical_kernel_max_error,production_stop,cleanroom_stop
10,dense,1,1,2.7417184433760386,2.741718443376038,4.440892098500626e-16,0.35,0.35,93.94397691447443,93.94397691447443,0.0,0.0,False,False
10,dense,2,2,5.215724938162458,5.215724938162455,2.6645352591003757e-15,0.35,0.35,94.89222155539488,94.89222155539488,0.0,0.0,False,False
10,dense,5,4,11.986297018789594,11.986297018789582,1.2434497875801753e-14,0.35,0.35,97.64650245547467,97.64650245547466,1.4210854715202004e-14,0.0,False,False
10,dense,10,7,16.268312837713648,16.268312837713626,2.1316282072803006e-14,0.35,0.35,102.20681961471384,102.20681961471384,0.0,0.0,False,False
10,dense,20,10,23.828440683733028,23.828440683733024,3.552713678800501e-15,0.35,0.35,110.63190191612891,110.6319019161289,1.4210854715202004e-14,0.0,False,False
10,dense,25,10,28.231948151280097,28.231948151280093,3.552713678800501e-15,0.35,0.35,114.51794366395873,114.51794366395873,0.0,0.0,False,False
10,dense,40,10,32.00796646469578,32.00796646469578,0.0,0.35,0.35,125.41557165789392,125.41557165789393,1.4210854715202004e-14,0.0,False,False
10,sticky,1,1,4.1072212721487515,4.1072212721489185,1.6697754290362354e-13,0.35,0.35,93.94397691447443,93.94397691447443,0.0,0.0,False,False
10,sticky,2,2,4.747401136654086,4.747401136654251,1.6431300764452317e-13,0.35,0.35,94.89222155539488,94.89222155539488,0.0,0.0,False,False
10,sticky,5,3,8.78160808700915,8.7816080870091,4.973799150320701e-14,0.35,0.35,97.55604943279315,97.55604943279315,0.0,0.0,False,False
10,sticky,10,3,12.794265390971432,12.794265390971246,1.865174681370263e-13,0.35,0.35,100.92829047776586,100.92829047776586,0.0,0.0,False,False
10,sticky,20,4,19.868219651943612,19.868219651943626,1.4210854715202004e-14,0.35,0.35,106.3835127098987,106.3835127098987,0.0,0.0,False,False
10,sticky,25,4,23.803870626373925,23.803870626374096,1.7053025658242404e-13,0.35,0.35,109.75575375487139,109.75575375487139,0.0,0.0,False,False
10,sticky,40,5,37.52932079416197,37.529320794162054,8.526512829121202e-14,0.35,0.35,116.27354820623094,116.27354820623094,0.0,0.0,False,False
10,cycle,1,1,4.684936110914581,4.6849361109145375,4.3520742565306136e-14,0.35,0.35,93.94397691447443,93.94397691447443,0.0,0.0,False,False
10,cycle,2,2,5.359261316916922,5.359261316916847,7.549516567451064e-14,0.35,0.35,94.89222155539488,94.89222155539488,0.0,0.0,False,False
10,cycle,5,5,9.92241286663675,9.922412866636638,1.1191048088221578e-13,0.35,0.35,97.73695547815619,97.73695547815619,0.0,0.0,False,False
10,cycle,10,5,17.511023558052695,17.511023558052425,2.7000623958883807e-13,0.35,0.35,101.81381709484145,101.81381709484145,0.0,0.0,False,False
10,cycle,20,9,24.204598889694157,24.204598889693646,5.115907697472721e-13,0.35,0.35,110.17649127358044,110.17649127358044,0.0,0.0,False,False
10,cycle,25,9,27.833849323578136,27.833849323577457,6.785683126508957e-13,0.35,0.35,113.83900071308783,113.83900071308783,0.0,0.0,False,False
10,cycle,40,9,35.65170515490166,35.6517051549009,7.602807272633072e-13,0.35,0.35,124.41391439729514,124.41391439729516,1.4210854715202004e-14,0.0,False,False
25,dense,1,1,1.0380111933973222,1.0380111933973128,9.325873406851315e-15,0.75,0.75,603.9754601420402,603.9754601420401,1.1368683772161603e-13,0.0,False,False
25,dense,2,2,4.09975992282159,4.09975992282159,0.0,0.35,0.35,604.9551880105263,604.9551880105263,0.0,0.0,False,False
25,dense,5,5,17.364547555251033,17.364547555251026,7.105427357601002e-15,0.35,0.35,607.8943716159847,607.8943716159847,0.0,0.0,False,False
25,dense,10,8,26.563066849337204,26.56306684933731,1.0658141036401503e-13,0.6881867871004599,0.6881867800126927,612.68062020871,612.68062020871,0.0,0.0,False,False
25,dense,25,17,66.16767708286912,66.16767708286919,7.105427357601002e-14,0.35,0.35,627.1104244750674,627.1104244750674,0.0,0.0,False,False
25,dense,50,23,110.54037492044631,110.54037492044642,1.1368683772161603e-13,0.35,0.35,650.3276880603688,650.3276880603687,1.1368683772161603e-13,0.0,False,False
25,dense,100,25,159.8397714029952,159.8397714029953,8.526512829121202e-14,0.35,0.35,693.4060105240878,693.406010524088,1.1368683772161603e-13,0.0,False,False
25,sticky,1,1,5.461926248225479,5.461926248226189,7.096545573404001e-13,0.35,0.35,603.9754601420402,603.9754601420401,1.1368683772161603e-13,0.0,False,False
25,sticky,2,2,6.091838841069052,6.091838841069791,7.389644451905042e-13,0.35,0.35,604.9551880105263,604.9551880105263,0.0,0.0,False,False
25,sticky,5,2,9.698898652127959,9.69889865212858,6.217248937900877e-13,0.35,0.35,607.6750764578944,607.6750764578944,0.0,0.0,False,False
25,sticky,10,4,17.974499131054184,17.974499131054948,7.638334409421077e-13,0.35,0.35,612.4228942978125,612.4228942978125,0.0,0.0,False,False
25,sticky,25,6,34.40780115082826,34.4078011508297,1.4352963262354024e-12,0.35,0.35,624.4313980713812,624.4313980713811,1.1368683772161603e-13,0.0,False,False
25,sticky,50,8,55.866394774144595,55.86639477414566,1.0658141036401503e-12,0.35,0.35,642.9385061461289,642.9385061461289,0.0,0.0,False,False
25,sticky,100,14,103.73953808204556,103.73953808204568,1.2789769243681803e-13,0.35,0.35,681.2497900296646,681.2497900296646,0.0,0.0,False,False
25,cycle,1,1,5.669988138156538,5.669988138156548,9.769962616701378e-15,0.35,0.35,603.9754601420402,603.9754601420401,1.1368683772161603e-13,0.0,False,False
25,cycle,2,2,6.314793889177953,6.314793889177965,1.1546319456101628e-14,0.35,0.35,604.9551880105263,604.9551880105263,0.0,0.0,False,False
