theta,trial,seed,initial_state,log_inverse_alpha,stopping_time
-0.8,44,260417631,4,5120.0,7056
-0.8,45,260417632,0,320.0,522
-0.8,45,260417632,0,640.0,1047
-0.8,45,260417632,0,1280.0,1990
-0.8,45,260417632,0,2560.0,3821
-0.8,45,260417632,0,5120.0,7265
-0.8,46,260417633,1,320.0,584
-0.8,46,260417633,1,640.0,1003
-0.8,46,260417633,1,1280.0,1906
-0.8,46,260417633,1,2560.0,3696
-0.8,46,260417633,1,5120.0,7171
-0.8,47,260417634,2,320.0,602
-0.8,47,260417634,2,640.0,1046
-0.8,47,260417634,2,1280.0,1957
-0.8,47,260417634,2,2560.0,3683
-0.8,47,260417634,2,5120.0,7310
-0.8,48,260417635,3,320.0,564
-0.8,48,260417635,3,640.0,1013
-0.8,48,260417635,3,1280.0,1896
-0.8,48,260417635,3,2560.0,3760
-0.8,48,260417635,3,5120.0,7216
-0.8,49,260417636,4,320.0,517
-0.8,49,260417636,4,640.0,964
-0.8,49,260417636,4,1280.0,1855
-0.8,49,260417636,4,2560.0,3598
-0.8,49,260417636,4,5120.0,7103
-0.8,50,260417637,0,320.0,566
-0.8,50,260417637,0,640.0,1053
-0.8,50,260417637,0,1280.0,1921
-0.8,50,260417637,0,2560.0,3730
-0.8,50,260417637,0,5120.0,7224
-0.8,51,260417638,1,320.0,554
-0.8,51,260417638,1,640.0,1010
-0.8,51,260417638,1,1280.0,1977
-0.8,51,260417638,1,2560.0,3772
-0.8,51,260417638,1,5120.0,7426
-0.8,52,260417639,2,320.0,469
-0.8,52,260417639,2,640.0,909
-0.8,52,260417639,2,1280.0,1831
-0.8,52,260417639,2,2560.0,3713
-0.8,52,260417639,2,5120.0,7336
-0.8,53,260417640,3,320.0,565
-0.8,53,260417640,3,640.0,1071
-0.8,53,260417640,3,1280.0,2003
-0.8,53,260417640,3,2560.0,3647
-0.8,53,260417640,3,5120.0,7215
-0.8,54,260417641,4,320.0,565
-0.8,54,260417641,4,640.0,1030
-0.8,54,260417641,4,1280.0,1931
-0.8,54,260417641,4,2560.0,3809
-0.8,54,260417641,4,5120.0,7313
-0.8,55,260417642,0,320.0,556
-0.8,55,260417642,0,640.0,1067
-0.8,55,260417642,0,1280.0,1913
-0.8,55,260417642,0,2560.0,3717
-0.8,55,260417642,0,5120.0,7291
-0.8,56,260417643,1,320.0,538
-0.8,56,260417643,1,640.0,1055
-0.8,56,260417643,1,1280.0,2013
-0.8,56,260417643,1,2560.0,3899
-0.8,56,260417643,1,5120.0,7590
-0.8,57,260417644,2,320.0,507
-0.8,57,260417644,2,640.0,964
-0.8,57,260417644,2,1280.0,1959
-0.8,57,260417644,2,2560.0,3830
-0.8,57,260417644,2,5120.0,7379
-0.8,58,260417645,3,320.0,534
-0.8,58,260417645,3,640.0,952
-0.8,58,260417645,3,1280.0,1895
-0.8,58,260417645,3,2560.0,3748
-0.8,58,260417645,3,5120.0,7545
-0.8,59,260417646,4,320.0,504
-0.8,59,260417646,4,640.0,973
-0.8,59,260417646,4,1280.0,1827
-0.8,59,260417646,4,2560.0,3577
-0.8,59,260417646,4,5120.0,7137
-0.8,60,260417647,0,320.0,548
-0.8,60,260417647,0,640.0,1055
-0.8,60,260417647,0,1280.0,1949
-0.8,60,260417647,0,2560.0,3702
-0.8,60,260417647,0,5120.0,7309
-0.8,61,260417648,1,320.0,667
-0.8,61,260417648,1,640.0,1105
-0.8,61,260417648,1,1280.0,2106
-0.8,61,260417648,1,2560.0,3783
-0.8,61,260417648,1,5120.0,7227
-0.8,62,260417649,2,320.0,488
-0.8,62,260417649,2,640.0,924
-0.8,62,260417649,2,1280.0,1788
-0.8,62,260417649,2,2560.0,3638
-0.8,62,260417649,2,5120.0,7219
-0.8,63,260417650,3,320.0,587
-0.8,63,260417650,3,640.0,1048
-0.8,63,260417650,3,1280.0,2012
-0.8,63,260417650,3,2560.0,3860
-0.8,63,260417650,3,5120.0,7432
-0.8,64,260417651,4,320.0,520
-0.8,64,260417651,4,640.0,1054
-0.8,64,260417651,4,1280.0,1999
-0.8,64,260417651,4,2560.0,3751
-0.8,64,260417651,4,5120.0,7390
-0.8,65,260417652,0,320.0,519
-0.8,65,260417652,0,640.0,972
-0.8,65,260417652,0,1280.0,1825
-0.8,65,260417652,0,2560.0,3685
-0.8,65,260417652,0,5120.0,7187
-0.8,66,260417653,1,320.0,513
-0.8,66,260417653,1,640.0,965
-0.8,66,260417653,1,1280.0,1844
-0.8,66,260417653,1,2560.0,3748
-0.8,66,260417653,1,5120.0,7197
-0.8,67,260417654,2,320.0,545
-0.8,67,260417654,2,640.0,1008
-0.8,67,260417654,2,1280.0,1867
-0.8,67,260417654,2,2560.0,3645
-0.8,67,260417654,2,5120.0,7190
-0.8,68,260417655,3,320.0,554
-0.8,68,260417655,3,640.0,1049
-0.8,68,260417655,3,1280.0,1996
-0.8,68,260417655,3,2560.0,3941
-0.8,68,260417655,3,5120.0,7461
-0.8,69,260417656,4,320.0,521
-0.8,69,260417656,4,640.0,1006
-0.8,69,260417656,4,1280.0,1960
-0.8,69,260417656,4,2560.0,3764
-0.8,69,260417656,4,5120.0,7312
-0.8,70,260417657,0,320.0,546
-0.8,70,260417657,0,640.0,1035
-0.8,70,260417657,0,1280.0,1926
-0.8,70,260417657,0,2560.0,3654
-0.8,70,260417657,0,5120.0,7170
-0.8,71,260417658,1,320.0,492
-0.8,71,260417658,1,640.0,945
-0.8,71,260417658,1,1280.0,1798
-0.8,71,260417658,1,2560.0,3662
-0.8,71,260417658,1,5120.0,7273
-0.8,72,260417659,2,320.0,525
-0.8,72,260417659,2,640.0,1007
-0.8,72,260417659,2,1280.0,1895
-0.8,72,260417659,2,2560.0,3810
-0.8,72,260417659,2,5120.0,7399
-0.8,73,260417660,3,320.0,491
-0.8,73,260417660,3,640.0,958
-0.8,73,260417660,3,1280.0,1896
-0.8,73,260417660,3,2560.0,3698
-0.8,73,260417660,3,5120.0,7227
-0.8,74,260417661,4,320.0,541
-0.8,74,260417661,4,640.0,1013
-0.8,74,260417661,4,1280.0,1898
-0.8,74,260417661,4,2560.0,3659
-0.8,74,260417661,4,5120.0,7115
-0.8,75,260417662,0,320.0,575
-0.8,75,260417662,0,640.0,1019
-0.8,75,260417662,0,1280.0,1901
-0.8,75,260417662,0,2560.0,3679
-0.8,75,260417662,0,5120.0,7286
-0.8,76,260417663,1,320.0,466
-0.8,76,260417663,1,640.0,984
-0.8,76,260417663,1,1280.0,1918
-0.8,76,260417663,1,2560.0,3681
-0.8,76,260417663,1,5120.0,7130
-0.8,77,260417664,2,320.0,569
-0.8,77,260417664,2,640.0,1016
-0.8,77,260417664,2,1280.0,1961
-0.8,77,260417664,2,2560.0,3869
-0.8,77,260417664,2,5120.0,7370
-0.8,78,260417665,3,320.0,596
-0.8,78,260417665,3,640.0,1100
-0.8,78,260417665,3,1280.0,1959
-0.8,78,260417665,3,2560.0,3718
-0.8,78,260417665,3,5120.0,7265
-0.8,79,260417666,4,320.0,657
-0.8,79,260417666,4,640.0,1147
-0.8,79,260417666,4,1280.0,1992
-0.8,79,260417666,4,2560.0,3730
-0.8,79,260417666,4,5120.0,7147
-0.8,80,260417667,0,320.0,534
-0.8,80,260417667,0,640.0,990
-0.8,80,260417667,0,1280.0,1862
-0.8,80,260417667,0,2560.0,3706
-0.8,80,260417667,0,5120.0,7421
-0.8,81,260417668,1,320.0,526
-0.8,81,260417668,1,640.0,963
-0.8,81,260417668,1,1280.0,1928
-0.8,81,260417668,1,2560.0,3668
-0.8,81,260417668,1,5120.0,7216
-0.8,82,260417669,2,320.0,555
-0.8,82,260417669,2,640.0,1027
-0.8,82,260417669,2,1280.0,1882
-0.8,82,260417669,2,2560.0,3654
-0.8,82,260417669,2,5120.0,7171
-0.8,83,260417670,3,320.0,555
-0.8,83,260417670,3,640.0,986
-0.8,83,260417670,3,1280.0,2014
-0.8,83,260417670,3,2560.0,3786
-0.8,83,260417670,3,5120.0,7274
-0.8,84,260417671,4,320.0,577
-0.8,84,260417671,4,640.0,1040
-0.8,84,260417671,4,1280.0,1883
-0.8,84,260417671,4,2560.0,3705
-0.8,84,260417671,4,5120.0,7195
-0.8,85,260417672,0,320.0,579
-0.8,85,260417672,0,640.0,1031
-0.8,85,260417672,0,1280.0,1931
-0.8,85,260417672,0,2560.0,3673
-0.8,85,260417672,0,5120.0,7295
-0.8,86,260417673,1,320.0,589
-0.8,86,260417673,1,640.0,1085
-0.8,86,260417673,1,1280.0,1942
-0.8,86,260417673,1,2560.0,3700
-0.8,86,260417673,1,5120.0,7227
-0.8,87,260417674,2,320.0,527
-0.8,87,260417674,2,640.0,1051
-0.8,87,260417674,2,1280.0,1898
-0.8,87,260417674,2,2560.0,3630
-0.8,87,260417674,2,5120.0,7276
-0.8,88,260417675,3,320.0,518
-0.8,88,260417675,3,640.0,924
-0.8,88,260417675,3,1280.0,1867
-0.8,88,260417675,3,2560.0,3641
-0.8,88,260417675,3,5120.0,7059
-0.8,89,260417676,4,320.0,553
-0.8,89,260417676,4,640.0,1022
-0.8,89,260417676,4,1280.0,1901
-0.8,89,260417676,4,2560.0,3573
-0.8,89,260417676,4,5120.0,6963
-0.8,90,260417677,0,320.0,506
-0.8,90,260417677,0,640.0,966
-0.8,90,260417677,0,1280.0,1815
-0.8,90,260417677,0,2560.0,3646
-0.8,90,260417677,0,5120.0,7341
-0.8,91,260417678,1,320.0,555
-0.8,91,260417678,1,640.0,1045
-0.8,91,260417678,1,1280.0,2004
-0.8,91,260417678,1,2560.0,3915
-0.8,91,260417678,1,5120.0,7419
-0.8,92,260417679,2,320.0,624
-0.8,92,260417679,2,640.0,1053
-0.8,92,260417679,2,1280.0,1935
-0.8,92,260417679,2,2560.0,3749
-0.8,92,260417679,2,5120.0,7458
-0.8,93,260417680,3,320.0,615
-0.8,93,260417680,3,640.0,1035
-0.8,93,260417680,3,1280.0,1924
-0.8,93,260417680,3,2560.0,3546
-0.8,93,260417680,3,5120.0,7104
-0.8,94,260417681,4,320.0,554
-0.8,94,260417681,4,640.0,1008
-0.8,94,260417681,4,1280.0,1900
-0.8,94,260417681,4,2560.0,3636
-0.8,94,260417681,4,5120.0,7113
-0.8,95,260417682,0,320.0,557
-0.8,95,260417682,0,640.0,999
-0.8,95,260417682,0,1280.0,1991
-0.8,95,260417682,0,2560.0,3737
-0.8,95,260417682,0,5120.0,7242
-0.8,96,260417683,1,320.0,552
-0.8,96,260417683,1,640.0,988
-0.8,96,260417683,1,1280.0,1890
-0.8,96,260417683,1,2560.0,3648
-0.8,96,260417683,1,5120.0,7268
-0.8,97,260417684,2,320.0,533
-0.8,97,260417684,2,640.0,1023
-0.8,97,260417684,2,1280.0,1986
-0.8,97,260417684,2,2560.0,3669
-0.8,97,260417684,2,5120.0,7305
-0.8,98,260417685,3,320.0,573
-0.8,98,260417685,3,640.0,1023
-0.8,98,260417685,3,1280.0,1924
-0.8,98,260417685,3,2560.0,3628
-0.8,98,260417685,3,5120.0,7181
-0.8,99,260417686,4,320.0,511
-0.8,99,260417686,4,640.0,920
-0.8,99,260417686,4,1280.0,1818
-0.8,99,260417686,4,2560.0,3574
-0.8,99,260417686,4,5120.0,7164
-0.8,100,260417687,0,320.0,486
-0.8,100,260417687,0,640.0,913
-0.8,100,260417687,0,1280.0,1765
-0.8,100,260417687,0,2560.0,3411
-0.8,100,260417687,0,5120.0,6974
-0.8,101,260417688,1,320.0,589
-0.8,101,260417688,1,640.0,1032
-0.8,101,260417688,1,1280.0,1952
-0.8,101,260417688,1,2560.0,3839
-0.8,101,260417688,1,5120.0,7424
-0.8,102,260417689,2,320.0,567
-0.8,102,260417689,2,640.0,1023
-0.8,102,260417689,2,1280.0,1922
-0.8,102,260417689,2,2560.0,3704
-0.8,102,260417689,2,5120.0,7269
-0.8,103,260417690,3,320.0,516
-0.8,103,260417690,3,640.0,930
-0.8,103,260417690,3,1280.0,1852
-0.8,103,260417690,3,2560.0,3663
-0.8,103,260417690,3,5120.0,7179
-0.8,104,260417691,4,320.0,540
-0.8,104,260417691,4,640.0,1001
-0.8,104,260417691,4,1280.0,1813
-0.8,104,260417691,4,2560.0,3629
-0.8,104,260417691,4,5120.0,7104
-0.8,105,260417692,0,320.0,558
-0.8,105,260417692,0,640.0,994
-0.8,105,260417692,0,1280.0,1911
-0.8,105,260417692,0,2560.0,3667
-0.8,105,260417692,0,5120.0,7298
-0.8,106,260417693,1,320.0,568
