states,total,counts,log_mixture,empirical_kl,row_penalty,conditional_expectation,dominance_slack
6,9,2|1|1|0|5|0,2.638662391497606,7.220215635376668,10.148097085905793,1.0,5.56654384202673
6,9,2|1|1|1|0|4,0.5230818032018973,4.212060841824121,10.148097085905793,1.0,6.459118047283569
6,9,2|1|1|1|1|3,-0.6808910011240421,2.145041820142842,10.148097085905793,1.0,7.322164264638909
6,9,2|1|1|1|2|2,-0.9040345524382509,1.8041152331722485,10.148097085905793,1.0,7.439947300295293
6,9,2|1|1|1|3|1,-0.3162478875361323,2.509684933730751,10.148097085905793,1.0,7.322164264638909
6,9,2|1|1|1|4|0,1.2523680303777134,4.941347068999939,10.148097085905793,1.0,6.459118047283567
6,9,2|1|1|2|0|3,0.2353997307501139,3.754479732576942,10.148097085905793,1.0,6.629017084078964
6,9,2|1|1|2|1|2,-0.6808910011240386,2.0272587844864582,10.148097085905793,1.0,7.439947300295296
6,9,2|1|1|2|2|1,-0.49856944433008366,2.2095803412804127,10.148097085905793,1.0,7.439947300295296
6,9,2|1|1|2|3|0,0.7823644011319786,4.301444402958806,10.148097085905793,1.0,6.629017084078965
6,9,2|1|1|3|0|2,0.6408648388582776,4.159944840685107,10.148097085905793,1.0,6.6290170840789635
6,9,2|1|1|3|1|1,0.13003921509228888,2.9559720363591704,10.148097085905793,1.0,7.322164264638911
6,9,2|1|1|3|2|0,1.0055079524461874,4.524587954273016,10.148097085905793,1.0,6.629017084078964
6,9,2|1|1|4|0|1,1.7394771275263885,5.428456166148614,10.148097085905793,1.0,6.459118047283567
6,9,2|1|1|4|1|0,1.9217986843203434,5.610777722942569,10.148097085905793,1.0,6.459118047283567
6,9,2|1|1|5|0|0,3.7543801480686536,8.335933391947718,10.148097085905793,1.0,5.566543842026729
6,9,2|1|2|0|0|4,1.5039110562136209,5.8860372753957915,10.148097085905793,1.0,5.765970866723622
6,9,2|1|2|0|1|3,0.29993825188768497,3.819018253714513,10.148097085905793,1.0,6.629017084078964
