theta,trial,seed,initial_state,alpha,horizon,stopped,stopping_time
0.5800000000000001,156,260517743,2,0.009999999999999995,10000,False,
0.6000000000000001,157,260517744,2,0.05000000000000001,10000,False,
0.6000000000000001,157,260517744,2,0.009999999999999995,10000,False,
0.6200000000000001,158,260517745,2,0.05000000000000001,10000,False,
0.6200000000000001,158,260517745,2,0.009999999999999995,10000,False,
0.6400000000000001,159,260517746,2,0.05000000000000001,10000,False,
0.6400000000000001,159,260517746,2,0.009999999999999995,10000,False,
0.66,160,260517747,2,0.05000000000000001,10000,False,
0.66,160,260517747,2,0.009999999999999995,10000,False,
0.68,161,260517748,2,0.05000000000000001,10000,False,
0.68,161,260517748,2,0.009999999999999995,10000,False,
0.7,162,260517749,2,0.05000000000000001,10000,False,
0.7,162,260517749,2,0.009999999999999995,10000,False,
0.72,163,260517750,2,0.05000000000000001,10000,False,
0.72,163,260517750,2,0.009999999999999995,10000,False,
0.74,164,260517751,2,0.05000000000000001,10000,False,
0.74,164,260517751,2,0.009999999999999995,10000,False,
0.76,165,260517752,2,0.05000000000000001,10000,False,
0.76,165,260517752,2,0.009999999999999995,10000,False,
0.78,166,260517753,2,0.05000000000000001,10000,False,
0.78,166,260517753,2,0.009999999999999995,10000,False,
0.8,167,260517754,2,0.05000000000000001,10000,False,
0.8,167,260517754,2,0.009999999999999995,10000,False,
0.4,168,260517755,3,0.05000000000000001,10000,False,
0.4,168,260517755,3,0.009999999999999995,10000,False,
0.42000000000000004,169,260517756,3,0.05000000000000001,10000,False,
0.42000000000000004,169,260517756,3,0.009999999999999995,10000,False,
0.44,170,260517757,3,0.05000000000000001,10000,False,
0.44,170,260517757,3,0.009999999999999995,10000,False,
0.46,171,260517758,3,0.05000000000000001,10000,False,
0.46,171,260517758,3,0.009999999999999995,10000,False,
0.48000000000000004,172,260517759,3,0.05000000000000001,10000,False,
0.48000000000000004,172,260517759,3,0.009999999999999995,10000,False,
0.5,173,260517760,3,0.05000000000000001,10000,False,
0.5,173,260517760,3,0.009999999999999995,10000,False,
0.52,174,260517761,3,0.05000000000000001,10000,False,
0.52,174,260517761,3,0.009999999999999995,10000,False,
0.54,175,260517762,3,0.05000000000000001,10000,False,
0.54,175,260517762,3,0.009999999999999995,10000,False,
0.56,176,260517763,3,0.05000000000000001,10000,False,
0.56,176,260517763,3,0.009999999999999995,10000,False,
0.5800000000000001,177,260517764,3,0.05000000000000001,10000,False,
0.5800000000000001,177,260517764,3,0.009999999999999995,10000,False,
0.6000000000000001,178,260517765,3,0.05000000000000001,10000,False,
0.6000000000000001,178,260517765,3,0.009999999999999995,10000,False,
0.6200000000000001,179,260517766,3,0.05000000000000001,10000,False,
0.6200000000000001,179,260517766,3,0.009999999999999995,10000,False,
0.6400000000000001,180,260517767,3,0.05000000000000001,10000,False,
0.6400000000000001,180,260517767,3,0.009999999999999995,10000,False,
0.66,181,260517768,3,0.05000000000000001,10000,False,
0.66,181,260517768,3,0.009999999999999995,10000,False,
0.68,182,260517769,3,0.05000000000000001,10000,False,
0.68,182,260517769,3,0.009999999999999995,10000,False,
0.7,183,260517770,3,0.05000000000000001,10000,False,
0.7,183,260517770,3,0.009999999999999995,10000,False,
0.72,184,260517771,3,0.05000000000000001,10000,False,
0.72,184,260517771,3,0.009999999999999995,10000,False,
0.74,185,260517772,3,0.05000000000000001,10000,False,
0.74,185,260517772,3,0.009999999999999995,10000,False,
0.76,186,260517773,3,0.05000000000000001,10000,False,
0.76,186,260517773,3,0.009999999999999995,10000,False,
0.78,187,260517774,3,0.05000000000000001,10000,False,
0.78,187,260517774,3,0.009999999999999995,10000,False,
0.8,188,260517775,3,0.05000000000000001,10000,False,
0.8,188,260517775,3,0.009999999999999995,10000,False,
0.4,189,260517776,4,0.05000000000000001,10000,False,
0.4,189,260517776,4,0.009999999999999995,10000,False,
0.42000000000000004,190,260517777,4,0.05000000000000001,10000,False,
0.42000000000000004,190,260517777,4,0.009999999999999995,10000,False,
0.44,191,260517778,4,0.05000000000000001,10000,False,
0.44,191,260517778,4,0.009999999999999995,10000,False,
0.46,192,260517779,4,0.05000000000000001,10000,False,
0.46,192,260517779,4,0.009999999999999995,10000,False,
0.48000000000000004,193,260517780,4,0.05000000000000001,10000,False,
0.48000000000000004,193,260517780,4,0.009999999999999995,10000,False,
0.5,194,260517781,4,0.05000000000000001,10000,False,
0.5,194,260517781,4,0.009999999999999995,10000,False,
0.52,195,260517782,4,0.05000000000000001,10000,False,
0.52,195,260517782,4,0.009999999999999995,10000,False,
0.54,196,260517783,4,0.05000000000000001,10000,False,
0.54,196,260517783,4,0.009999999999999995,10000,False,
0.56,197,260517784,4,0.05000000000000001,10000,False,
0.56,197,260517784,4,0.009999999999999995,10000,False,
0.5800000000000001,198,260517785,4,0.05000000000000001,10000,False,
0.5800000000000001,198,260517785,4,0.009999999999999995,10000,False,
0.6000000000000001,199,260517786,4,0.05000000000000001,10000,False,
0.6000000000000001,199,260517786,4,0.009999999999999995,10000,False,
0.6200000000000001,200,260517787,4,0.05000000000000001,10000,False,
0.6200000000000001,200,260517787,4,0.009999999999999995,10000,False,
0.6400000000000001,201,260517788,4,0.05000000000000001,10000,False,
0.6400000000000001,201,260517788,4,0.009999999999999995,10000,False,
0.66,202,260517789,4,0.05000000000000001,10000,False,
0.66,202,260517789,4,0.009999999999999995,10000,False,
0.68,203,260517790,4,0.05000000000000001,10000,False,
0.68,203,260517790,4,0.009999999999999995,10000,False,
0.7,204,260517791,4,0.05000000000000001,10000,False,
0.7,204,260517791,4,0.009999999999999995,10000,False,
0.72,205,260517792,4,0.05000000000000001,10000,False,
0.72,205,260517792,4,0.009999999999999995,10000,False,
0.74,206,260517793,4,0.05000000000000001,10000,False,
0.74,206,260517793,4,0.009999999999999995,10000,False,
0.76,207,260517794,4,0.05000000000000001,10000,False,
0.76,207,260517794,4,0.009999999999999995,10000,False,
0.78,208,260517795,4,0.05000000000000001,10000,False,
0.78,208,260517795,4,0.009999999999999995,10000,False,
0.8,209,260517796,4,0.05000000000000001,10000,False,
0.8,209,260517796,4,0.009999999999999995,10000,False,
0.4,210,260517797,0,0.05000000000000001,10000,False,
0.4,210,260517797,0,0.009999999999999995,10000,False,
0.42000000000000004,211,260517798,0,0.05000000000000001,10000,False,
0.42000000000000004,211,260517798,0,0.009999999999999995,10000,False,
0.44,212,260517799,0,0.05000000000000001,10000,False,
0.44,212,260517799,0,0.009999999999999995,10000,False,
0.46,213,260517800,0,0.05000000000000001,10000,False,
0.46,213,260517800,0,0.009999999999999995,10000,False,
0.48000000000000004,214,260517801,0,0.05000000000000001,10000,False,
0.48000000000000004,214,260517801,0,0.009999999999999995,10000,False,
0.5,215,260517802,0,0.05000000000000001,10000,False,
